,sentence_id,word_id,word,TRT,relFix
0,1,1,Um,883,0.024117116871056728
1,1,2,das,990,0.027039576106847294
2,1,3,Vorhandensein,3594,0.09816185507879714
3,1,4,der,634,0.01731625378963756
4,1,5,Polymerasekettenreaktion-Produkte,11001,0.30046704722366374
5,1,6,feststellen,1160,0.03168273564034633
6,1,7,zu,169,0.004615846830360801
7,1,8,können,609,0.01663343621118182
8,1,9,verwendet,631,0.01723431568022287
9,1,10,man,635,0.01734356649277579
10,1,11,die,564,0.01540436456996149
11,1,12,Gelelektrophorese,3163,0.0863900800262202
12,1,13,mit,382,0.010433452598803704
13,1,14,einer,447,0.012208778302788627
14,1,15,anschließenden,1092,0.02982547182694671
15,1,16,Behandlung,697,0.019036954087346025
16,1,17,des,186,0.005080162783710704
17,1,18,Gels,758,0.02070302897877803
18,1,19,durch,756,0.02064840357250157
19,1,20,Ethidiumbromid,8262,0.22565755332805287
20,2,1,Bei,0,0.0
21,2,2,dieser,1213,0.13667605633802818
22,2,3,Methode,844,0.09509859154929577
23,2,4,wird,246,0.02771830985915493
24,2,5,die,750,0.08450704225352113
25,2,6,negative,1704,0.192
26,2,7,Ladung,1113,0.12540845070422535
27,2,8,der,174,0.0196056338028169
28,2,9,DNA-Fragmente,1526,0.17194366197183097
29,2,10,genutzt,1305,0.14704225352112676
30,3,1,Die,0,0.0
31,3,2,DNA-Fragmente,828,0.10595009596928982
32,3,3,sind,365,0.04670505438259757
33,3,4,auf,566,0.07242482405630199
34,3,5,Grund,435,0.05566218809980806
35,3,6,der,185,0.023672424824056303
36,3,7,darin,575,0.07357645553422905
37,3,8,enthaltenen,420,0.053742802303262956
38,3,9,Phosphatreste,2925,0.3742802303262956
39,3,10,negativ,726,0.09289827255278311
40,3,11,geladen,790,0.10108765195137556
41,4,1,Anlegen,1065,0.09026188660055937
42,4,2,eines,466,0.03949487244681753
43,4,3,elektrischen,649,0.05500466141198407
44,4,4,Feldes,339,0.028731248410882277
45,4,5,lässt,512,0.043393507924400374
46,4,6,die,219,0.018560894991100942
47,4,7,Polymerasekettenreaktion-Produkte,3794,0.32155267395542
48,4,8,durch,505,0.04280023730824646
49,4,9,ein,329,0.027883718959233833
50,4,10,gelartiges,849,0.07195525044495296
51,4,11,Medium,353,0.029917789643190102
52,4,12,zumeist,1035,0.08771929824561403
53,4,13,Agarose,947,0.08026103907110772
54,4,14,wandern,737,0.06246292058649038
55,5,1,Die,0,0.0
56,5,2,DNA-Fragmente,1654,0.23388009049773756
57,5,3,wandern,974,0.1377262443438914
58,5,4,durch,328,0.04638009049773756
59,5,5,das,209,0.02955316742081448
60,5,6,Agarose-Sieb,1568,0.22171945701357465
61,5,7,vom,208,0.029411764705882353
62,5,8,Minuspol,1073,0.15172511312217193
63,5,9,zum,96,0.013574660633484163
64,5,10,Pluspol,962,0.13602941176470587
65,6,1,Kleinere,486,0.048286140089418776
66,6,2,Fragmente,675,0.06706408345752608
67,6,3,wandern,428,0.04252359662195728
68,6,4,schneller,735,0.07302533532041729
69,6,5,durch,181,0.017983109786388476
70,6,6,das,173,0.017188276204669648
71,6,7,Agarose-Sieb,1315,0.13065076999503228
72,6,8,daher,744,0.07391952309985098
73,6,9,befinden,1434,0.14247391952309985
74,6,10,sie,406,0.0403378042722305
75,6,11,sich,959,0.09528067560854446
76,6,12,in,94,0.009339294585196225
77,6,13,der,185,0.01838052657724789
78,6,14,Nähe,357,0.03546944858420268
79,6,15,zum,107,0.01063089915548932
80,6,16,Pluspol,655,0.06507699950322901
81,6,17,des,945,0.09388971684053651
82,6,18,Gels,186,0.018479880774962744
83,7,1,Die,365,0.05065223424923675
84,7,2,größeren,694,0.09630863169580905
85,7,3,Fragmente,347,0.04815431584790453
86,7,4,wandern,750,0.10407993338884262
87,7,5,langsamer,500,0.06938662225922843
88,7,6,und,219,0.030391340549542047
89,7,7,bleiben,1132,0.15709131279489313
90,7,8,in,244,0.03386067166250347
91,7,9,der,345,0.04787676935886761
92,7,10,Nähe,615,0.08534554537885096
93,7,11,zum,1307,0.1813766305856231
94,7,12,Minuspol,688,0.0954759922286983
95,8,1,Um,537,0.07525224215246637
96,8,2,DNA-Fragmente,1428,0.20011210762331838
97,8,3,sichtbar,513,0.0718890134529148
98,8,4,zu,173,0.024243273542600897
99,8,5,machen,210,0.029428251121076235
100,8,6,behandelt,400,0.05605381165919283
101,8,7,man,156,0.021860986547085202
102,8,8,das,190,0.026625560538116592
103,8,9,Gel,258,0.03615470852017937
104,8,10,mit,234,0.0327914798206278
105,8,11,einer,139,0.019478699551569507
106,8,12,wässrigen,580,0.0812780269058296
107,8,13,Lösung,198,0.02774663677130045
108,8,14,von,135,0.018918161434977578
109,8,15,Ethidiumbromid,1985,0.2781670403587444
